Relative Time(s),Temperature(C)
2,22.37
5,22.37
8,22.37
11,22.37
13,22.37
16,22.37
19,22.62
22,23.06
25,23.56
27,23.94
30,23.44
33,23.00
36,22.81
39,22.69
41,22.62
44,22.56
47,22.50
50,22.44
52,22.44
55,22.37
58,22.37
61,22.37
64,22.37
66,22.31
69,22.31
72,22.31
75,22.31
78,22.31
80,22.31
83,22.31
86,22.31
89,22.31
